patent_id,subclass
7361783,C07C
7361783,A01N
5840705,A01N
5840705,A61K
5646140,C07D
5646140,A61K
7538137,A01N
7538137,A61K
7655690,A61K
7655690,C07D
6656934,A61K
6656934,C07D
7091230,A61K
7091230,C07D
7495020,A61K
6624161,A61K
6624161,C07D
6235730,C07D
6235730,A61K
6403624,A61K
6403624,C07D
6352987,A61K
6352987,C07D
6352987,A61P
6352987,C07C
6444669,A61K
6852738,A61K
5789380,A61K
5789380,C07K
7344843,G01N
7135199,A01N
7160877,A61K
7160877,C07D
3995026,A61K
6800605,C07C
6518402,C07K
5240962,A61K
5532336,A16K
5532336,C07K
5563243,A61K
5563243,C07K
5552522,A61K
5552522,C07K
5567678,C07K
5567678,A61K
5574133,A61K
5574133,C07K
5563244,A61K
5563244,C07K
5569743,A61K
5569743,C07K
5580954,C07K
5580954,A61K
5563245,A61K
5563245,C07K
5525705,A61K
5525705,C07K
5521283,C07K
5521283,A61K
5554727,A61K
5554727,C07K
5569744,A61K
5569744,C07K
5559208,A61K
5559208,C07K
5567803,A61K
5567803,C07K
5691309,A61K
5691309,C07K
5552523,A61K
5552523,C07K
5552524,A61K
5552524,C07K
5594104,A61K
5594104,C07K
5594101,A61K
5594101,C07K
5719266,A61K
5719266,C07K
5605886,A61K
5851995,A61K
7687085,A61K
7041280,A61K
6858592,A61K
6858592,C07F
7049304,A61K
7049304,C07F
6569879,A61K
6569879,C07D
6569879,A61P
7582633,C07D
7582633,A61K
7582633,A61P
6395784,A01N
6395784,C07C
6599899,A61K
6861444,C07D
6861444,A61K
6861444,A61P
7049445,C07D
6908908,A61K
6908908,C07D
6555536,A61K
6555536,C07D
5109006,A61K
5109006,C07D
6506420,A01N
6506420,A61K
6506420,A23L
7579027,A61K
6852693,A61K
6852693,C07K
5741666,C12N
6797290,A01N
6797290,A23L
7238727,A61K
6057109,C12Q
6121017,C12N
7279470,C07D
7279470,A61K
6939875,C07D
6939875,A61K
6964983,A61K
6964983,C07C
RE39916,A61K
RE39916,C07D
6624185,A61K
6624185,A61P
6624185,C07D
6884812,A61K
6884812,C07D
5453282,A61K
5654001,A61K
6235305,A61K
7618940,C12Q
6264937,A61K
6299868,A61K
7048917,A61K
6726906,A61K
6726906,C08F
4115587,A61K
4115587,C09F
7553502,A01N
7244727,C07D
7244727,A61K
7244727,A61P
6890899,A61K
4013510,C12B
3951745,C12D
7223727,A61K
7635705,A61K
7635705,C07D
7371759,C07D
7371759,A61K
7371759,A61P
7482358,A61K
7482358,C07D
7064142,A61K
7064142,C07D
5723115,A61K
5723115,C07K
5496831,A01N
7291607,A61K
6808703,A01N
6808703,C12N
5998421,A61K
5998421,A23K
5474991,A61K
5474991,C07F
5723443,A23J
5723443,A61K
5723443,C07K
5723443,C12P
7407674,A61K
5411956,A61K
5411956,C07K
5376640,A61K
4689344,A61K
4634795,C07C
4442113,A61K
5246723,A21D
5246723,A23L
5330779,A21D
5330779,A23L
6384087,A61P
6384087,A61K
7704979,A01N
6046184,A61K
6531462,A61K
6639123,A01K
6639123,C12N
4211765,A61K
4042687,A01N
4042687,A61K
5977175,A61K
7053075,A61K
7053075,C07C
7202222,A61K
7056949,A61K
7056949,C11B
7056949,A23D
6348492,C07D
6348492,A61K
6342519,A61K
6342519,C07D
7034004,A61K
7034004,C07K
7368433,A61K
7368433,C07K
6214831,A61K
7175999,C12N
5861485,C07K
7348338,A61K
7572806,A61K
7491831,A61K
7476746,A61K
7071207,A61K
7071207,C07D
7091228,A61K
7091228,C07D
7423156,C07D
6960601,C07D
6960601,A61K
7098029,C12N
7098029,A23L
7098029,A01H
6316489,A61K
6239163,A61K
6451802,A61K
6451802,C07D
6605297,A61K
6410577,C07D
6410577,A61K
7342127,C07C
7342127,A01N
7141561,A61K
7141561,C07D
7592477,C07C
7592477,C07D
7323480,A61K
7323480,C07D
7407954,C07D
7407954,A61K
7557143,A61K
7557143,C07C
5877183,A61K
5296481,A61K
5296481,C07J
6720351,A61K
6979692,A61K
6979692,C07D
6979692,A61P
6949572,A61K
6949572,C07D
6949572,A61P
5912229,A61K
5912229,C07K
6580084,H05H
7127023,G21G
7512206,G21G
6706251,A61K
7060998,G21F
5729821,C01G
7466085,H05H
7556780,B01J
6433495,H05H
6433495,G01K
5774815,G21F
5865906,H01L
6337055,C22B
7023000,G01N
7554098,C22B
7554098,B01D
5280505,G21G
7708961,C01G
7708961,C22B
7708961,G21G
6678344,G21G
6972414,C22B
5633900,G21G
5867546,G21G
6056929,G21G
7138643,G21G
5154897,C22B
5910971,G21G
5508011,C01F
6130926,G21G
5475232,A61K
5802438,C01G
5573747,A61K
5573747,A01N
7316644,A61M
6299666,C22B
5355394,G21G
6153154,C22B
7728310,B01D
5802439,C01G
5104638,A61K
5104638,C07F
5254328,A61K
5254328,C01G
5268163,A61K
5784423,G21G
6066302,C01D
6066302,G21G
7563920,C07C
5809394,C22B
7087206,C22B
7087206,C01G
6998052,B01D
6586747,G01N
6586747,G21G
5586153,G21C
5409677,C01F
5382388,C09K
5382388,B01J
5987087,G21G
6773686,C01B
5862193,G21G
6011825,G21G
6222896,G21G
6490330,G21G
6638490,C01G
6143431,B32B
6143431,C25D
6143431,G21G
5949836,G21G
6208704,G21G
6852296,C01G
6852296,C22B
7394074,G21F
7091494,G21G
7592605,G21G
7394081,A61N
7578982,C01F
7200198,G21G
7476377,C01D
6908598,C01D
6908598,C01F
6908598,C01G
6774532,H01L
5737376,G21G
5145636,G21G
7101484,B01D
5109160,G21G
5109160,G21H
5246505,H01L
5457720,G21C
7737415,B01D
7700926,G21G
7700926,G21F
7804928,G21G
6359952,G21K
5186913,C01G
5275802,A61K
5275802,C07F
5405309,A61N
8767509,G01S
8600663,G06F
8600663,B63H
8583300,B63H
8490566,B63B
8490566,B63H
8490566,F17C
8490566,F25J
8475221,B63H
8265809,G01V
8265809,H02G
8215252,B63B
8215252,B63H
8145372,G05D
8117890,G01C
8087370,B63B
8062081,B63H
8022844,G08B
8004934,G01S
7997134,G01P
7997134,G01C
7980905,B63H
7877174,B63H
7818092,G05D
7775844,B63H
7775844,G05D
7775844,B60L
7768443,G01S
7751977,G06F
7747710,G06F
7720629,G01S
7720629,G01P
7720629,G01F
7661380,B63B
7661380,B63J
7603786,G01C
7494393,B63H
7494393,G05D
7494394,B63H
7494394,G05D
7491104,B63H
7485021,B63H
7485021,B60L
7465203,B63H
7465203,G05D
7416456,B63H
7398742,B63H
7398742,G05D
7389165,G06F
7389165,G05D
7384321,B63H
7367854,B63H
7343261,G06F
7327286,G08B
7318389,B63B
7308357,G05B
7177734,G05D
7177734,B63B
7160158,B63H
7133327,G01S
7105800,B63H
7082355,G06F
7036445,B63H
6994049,B63B
6882289,G08B
6878019,B63H
6857917,B63H
6851317,G01C
6851317,G01P
6612881,B63H
6571722,B63B
6458003,B63H
6415209,G01C
6408777,B63H
6299496,B63H
6273769,B63H
6213041,B63B
8229776,G06Q
8229776,G06F
8229776,G06G
8062081,B63H
8062082,B63H
8050849,B63H
8050849,G06F
8001918,B63B
7997221,B63B
7992508,B63B
7677191,B63B
7654212,B63B
7467051,G06F
7467051,G01R
7422498,B63H
7384321,B63H
7111522,G01C
7111522,F16P
7111522,H02K
7017505,B63B
6994049,B63B
6857917,B63H
6752672,B63H
6712651,B63H
6571722,B63B
