,abstract,claim,class,label,patent_id,title
0,"A method for reducing frictional-resistance at a hull (2) of a ship (1), characterized in that the method comprising a step of ejecting micro-bubbles (8) having predetermined diameters; wherein the micro-bubbles (8) are ejected into water from a position adjacent to the starting point of desired stream line (F.L.) of water and from the position where the static pressure is low; the stream line (F.L.) being directed, from the submerged shallow position at a stem portion (4) of the ship's hull (2), to the ship's bottom (5) along both side surfaces of the ship's hull (2), so that the ejected micro-bubbles (8) are transferred to the ship's bottom (5) along the stream line (F.L.); whereby the micro-bubbles (8) are distributed at at least a part of the circumferential area of the submerged portion of the hull (2), thus reducing frictional-resistance at a hull (2) of a ship (1) while cruising.","1. A method for reducing frictional-resistance at a hull (2) of a ship (1), characterized in that said method comprising a step of ejecting micro-bubbles (8) each having an average diameter which is set at approximately 1 mm, wherein said micro-bubbles (8) are ejected into water from a position adjacent to the starting point of a desired stream line (F.L.) of water and from a position where the static pressure is low,said stream line (F.L.) being directed, from the submerged shallow position at a stein portion (4) of said ship's hull (2), to the ship's bottom (5) along both side surfaces of said ship's hull (2), so that said ejected micro-bubbles (8) are carried to said ship's bottom (5) along said strewn line (F.L.),whereby said micro-bubbles (8) are distributed at least a part of the circumferential area of said submerged portion of said hull (2), thus reducing frictional-resistance at said hull (2) of said ship (1) while cruising.",AAB,1,6186085,"Method for reducing frictional resistance of hull, frictional resistance reducing ship using such method, and method for analyzing ejected air-bubbles from ship"
1,"A watercraft having a speed measuring system which provides for accurate and consistent measurement of watercraft speed throughout the operation of the watercraft, including during violent maneuvers and/or sharp turns. The speed measuring system includes a ride plate assembly for a personal watercraft comprising a sensor and a plate. The sensor generally includes a moveable element and a housing supporting at least a portion of the moveable element. The plate includes a longitudinally-extending channel with the channel extending along at least a portion of the length of the plate. The housing is connected to an aft portion of the plate with at least a portion of the rotatable element being positioned in line with the channel.","1. A small watercraft comprising a hull having a longitudinal axis, an engine compartment defined within the hull, an engine mounted within the engine compartment, a tunnel defined within a lower aft portion of the hull, a propulsion unit powered by the engine, the propulsion unit mounted within the tunnel, a plate covering at least a portion of the tunnel proximate the propulsion unit, a lower surface of the plate defining a planing surface upon which the watercraft rides when the watercraft is planing, a generally longitudinally-extending channel defined along at least a portion of the plate, longitudinally extending first and second portions extending adjacent the channel, the first and second portions having respective lower surfaces disposed lower than the planing surface, a sensor mounted to the plate, the sensor having a moveable element, the movable element extending into the channel and arranged so as to be higher than the lower surfaces of the first and second portions, and a display positioned proximate a seat and in communication with the sensor.",AAA,1,6213041,Speed sensor for personal watercraft
2,"A transparent device that allows monitoring of the oil level and condition in the water jet propulsion system through means of a visual inspection. A layman can easily perform this inspection, simply by viewing the transparent thrust cone from the rear of the watercraft jet propulsion system, saving the expense and time of disassembly by a professional.","1. A watercraft impeller thrust cone adapted to be attached to a watercraft jet propulsion system, wherein the jet propulsion system comprises a water intake port, a grill across the water intake port, a jet pump impeller, an exit nozzle, and an amount of oil for lubrication purposes, the thrust cone comprising: a cone shaped member having three mounting holes by which the cone shaped member is attachable to the jet pump impeller, said cone shaped member being transparent such that said amount of oil can be observed without removal of said thrust cone.",AAA,1,6273769,Transparent thrust cone for monitoring oil level and condition in watercraft jet propulsion system
3,"An exhaust control system is provided for a marine propulsion system used on a marine vessel. Several parameters are monitored by a controller and a controller uses the information provided by these sensors to control the position of a valve within an exhaust conduit assembly. Sound level is measured at a preselected position on the marine vessel and the degree of opening of a valve is controlled to limit the noise level emanating from the exhaust system. Some exhaust can be diverted directly to the atmosphere through the transom as long as the noise level does not exceed a preselected limit, which can typically be a state law regulation. If a noise level is exceeded, the controller forces the exhaust through an underwater discharge point, typically through the propeller hub of the marine propulsion system.","1. In a marine vessel having an inboard engine, an outboard drive mechanism, and a transom, an exhaust control system, comprising: a conduit assembly comprising an inlet passage, a first outlet passage, and a second outlet passage;a valve disposed within said conduit assembly for selectively blocking said first outlet passage from fluid communication with said inlet passage;a valve actuator connected to said valve for controlling the position of said valve relative to said first outlet passage;a controller having an output signal port connected in signal communication with said valve actuator; anda first sensor connected in signal communication with said controller and located to sense a first parameter of said marine vessel, said first sensor providing a first sensor signal to said controller which is representative of said first parameter, said valve being movable to a position within said first outlet passage by said valve actuator in response to a first output signal provided by said controller at said output signal port as a function of said first sensor signal, said first sensor being a sound level sensor attached to said marine vessel to sense the sound level of said exhaust system at a representative location on said marine vessel, said first sensor signal being representative of the sound level of said exhaust system at said representative location on said marine vessel, said valve being movable to a position within said first outlet passage to inhibit the flow of exhaust through said first outlet passage to a degree necessary to maintain the magnitude of said first sensor signal below a preselected threshold magnitude.",AAA,1,6299496,Exhaust control system for a marine vessel
4,"The present invention having enhanced maneuverability that has hull at least partially submerged in fluid, which will ordinarily be water. The vehicle has a forward bow, a longitudinal axis extending rearwardly from said bow and opposed first and second sides. The first and second sides have respectively a first major opening and a first small opening and a second opening. A fluid-conducting tunnel extends generally transversely through the hull from the first major opening on the first side of the hull to the second major opening on the said side of the hull. There is a propeller for causing fluid to flow through the tunnel. In order to compensate for the detrimental effect on thrust (T) caused by increases in forward vehicle velocity (Vv), angular speed (N) of the propeller is increased proportionally to measured increases in axial fluid velocity (Vx).","1. A marine vehicle having enhanced maneuverability comprising: a hull at least partially submerged in a fluid having a forward bow, and a longitudinal axis extending rearwardly from said bow and opposed first and second sides and said first and second sides having respectively a first opening and a second opening;a fluid conducting means having a length and extending generally transversely through the hull from the first opening on the first side of the hull to the second opening on the second side of the hull;a propeller having at least one blade on which the fluid exerts a lift force (L);means for causing fluid to flow at an axial fluid velocity (Vx) through the fluid conducting means;means for driving the propeller to achieve an adjustable angular speed (N);means for measuring the axial fluid velocity (Vx); andcomputer means for adjusting the angular speed (N) of the propeller based on the axial fluid velocity (Vx) to approximately optimize the lift force (L) on the propeller blade.",AAA,1,6408777,Side thruster performance improvement with speed control
5,A system for displaying the status of accessory systems is claimed. At least one sensor monitors the status of at least one accessory system. A transmitter located in proximity of the sensor transmits status information from the sensor to a receiver. The receiver is located remotely from the sensor and the transmitter. The receiver processes the status information and transmits the status information to a visual display.,"1. A method of displaying the status of accessory systems in a marine vessel, the method comprising the acts of: providing a sensor/transmitter unit for monitoring at least one accessory system in the marine vessel;providing a receiver, a computer, and a display;connecting the sensor/transmitter unit and the receiver to the marine vessel;storing a pseudo-random code within the sensor/transmitter unit;teaching the computer the pseudo-random code;sensing the status information of the accessory system with the sensor/transmitter unit;wirelessly transmitting the status information and the pseudo-random code from the sensor/transmitter unit, thereby preventing the need of a hardwire connection in the marine vessel between the sensor/transmitter unit and the receiver;receiving the status information and the pseudo-random code with the receiver;validating the pseudo-random code;processing the status information in the computer if the pseudo-random code is valid; anddisplaying the processed status information on the display.",AAA,1,6415209,Marine accessory systems
6,"A method and system for defining a program to control the trim position of a propulsion unit mounted on a watercraft for a desired utility mode. Also, a method and system for controlling the trim position in a given utility mode by using the defined program. In defining the program, a first utility mode is defined and the watercraft is operated in the defined mode as in normal operation. Multiple trim positions are selected throughout the course of operation in the defined mode. For each selected trim position, an operational parameter of the watercraft is sensed. Multiple values of the same parameter may be sensed and measured for a single trim position. After the parameters have been sensed for each trim position, a correlated data set is created. A correlated data set is saved to a memory device for each selected trim position of the defined utility mode. In controlling the trim position, the watercraft is again operated in the first utility mode. A current operational parameter is then measured. Having measured the current operational parameter, the correlated data sets are recalled from memory so that the current operational parameter may be compared with the stored parameters in the data sets. The trim position is then selected and set based on the comparison of the current parameter with those stored in the data set.","1. A method for defining a program for control of the trim position of a propulsion unit mounted on a watercraft, the method comprising the acts of: (a) defining a first utility mode and operating the watercraft in the first utility mode;(b) selecting multiple trim positions of the propulsion unit;(c) sensing an operational parameter of the watercraft in association with each selected trim position and defining a correlated data set for each trim position; and(d) saving to a memory device the correlated data set for each selected trim position in the first utility mode.",AAA,1,6458003,Dynamic trim of a marine propulsion system
7,"New electric boat designs are provided that exploit the weight of a battery to stabilize the boat and in some cases to overcome the hull speed limitation problem. The battery mass is enclosed in one or two torpedo-like structures that are mostly or completely submerged. A platform is spaced above the torpedo(s) via one or more struts that may allow wave energy to pass through the watercraft rather than collide with large vertical surfaces. The design minimizes wake formation, wave sensitivity and is useful for new kinds of electric boats that can dive with an air bubble to allow submarine use, higher speed pleasure craft, and sailing craft that can remain stable in shallow draft waters. The stabilized watercraft optionally have computer monitoring of wave activity and control for greater resistance to adverse weather conditions.","1. A sailboat comprising: (a) an elongated submerged central support member having an upper surface and at least one strut or must attached to the upper surface; (b) an electric motor and a low energy density power source within the support member, wherein the low energy density power source comprises at least 25% of the total watercraft weight; (c) two elongated floats one of each side of the central support member, each float having an upper surface with at least one strut attached to the upper surface; and (c) a platform attached to the upper ends of the struts and held above the support member and float(s). ",AAA,1,6571722,Computer controlled watercraft
8,"New electric boat designs are provided that exploit the weight of a battery to stabilize the boat and in some cases to overcome the hull speed limitation problem. The battery mass is enclosed in one or two torpedo-like structures that are mostly or completely submerged. A platform is spaced above the torpedo(s) via one or more struts that may allow wave energy to pass through the watercraft rather than collide with large vertical surfaces. The design minimizes wake formation, wave sensitivity and is useful for new kinds of electric boats that can dive with an air bubble to allow submarine use, higher speed pleasure craft, and sailing craft that can remain stable in shallow draft waters. The stabilized watercraft optionally have computer monitoring of wave activity and control for greater resistance to adverse weather conditions.","1. A sailboat comprising: (a) an elongated submerged central support member having an upper surface and at least one strut or must attached to the upper surface; (b) an electric motor and a low energy density power source within the support member, wherein the low energy density power source comprises at least 25% of the total watercraft weight; (c) two elongated floats one of each side of the central support member, each float having an upper surface with at least one strut attached to the upper surface; and (c) a platform attached to the upper ends of the struts and held above the support member and float(s). ",ABB,1,6571722,Computer controlled watercraft
9,"A watercraft has an overturn detector. The detector communicates with a controller to prevent a false overturn signal. The controller does not act on overturn signals when the watercraft is operating above a preset engine speed associated with planning mode. The controller stops the engine when the overturn signal persists for longer than a predetermined period of time while the engine is operating below the preset engine speed. The controller also monitors the overturn detector for failure. In the event of a failure during engine starting, the engine is allowed to run while the operator is alerted. In the event of a failure during engine operation, the engine is stopped and the operator is alerted if the watercraft is not in planing mode. If the failure during engine operation occurs when the watercraft is in planing mode, the operator is alerted but the engine is not stopped.","1. A method of controlling engine operation in a watercraft, the method comprising sensing an engine speed, determining if said engine speed is above a preset engine speed associated with a watercraft planing mode, sensing an overturn signal from an overturn sensor, determining whether said overturn signal persists for longer than a predetermined period of time and stopping the engine when said overturn signal persists for longer than a predetermined period of time while the engine is operating below the preset engine speed.",AAA,1,6612881,Engine control arrangement for watercraft
10,"A watercraft includes an engine having a fuel injection system. The fuel injection system is controlled to gradually reduce a speed of the engine if a lubrication pressure detected within the engine is below a predetermined pressure. Additionally, the fuel injection system is controlled to maintain a reduced engine speed until the throttle lever is moved to a position corresponding to a lower speed.","1. A method of controlling operation of an engine having an engine body, a lubrication system circulating lubricant through the engine body, and an engine load input device operable by an operator of a watercraft, the method comprising operating the engine in accordance with a position of the engine load input device, detecting a pressure within the lubrication system, detecting a speed of the engine, decreasing the speed of the engine to a first engine speed if the lubricant pressure is below a predetermined pressure, and limiting the engine speed to the first engine speed after the pressure in the lubrication system rises above the predetermined pressure, until the engine load input device is moved to a position corresponding to an engine load that is below a predetermined engine load.",ABB,1,6712651,Fuel injection control for marine engine
11,A watercraft has an engine that is controlled to reduce the likelihood of engine damage when the watercraft engine speed is rapidly increased due to a lack of load on the propulsion unit. The engine is controlled by a method that detects engine speed and reduces the power output of the engine by varying degrees depending on the speed of the engine relative to plural predetermine speeds.,"1. A method of controlling a multi-cylinder marine engine associated with a watercraft, the method comprising injecting fuel into the engine for combustion therein, sensing a first engine speed, comparing the first sensed engine speed with a first predetermined speed, stopping fuel injection to a first cylinder if the first sensed engine speed is greater than the first predetermined speed, sensing a second engine speed after the engine has completed a predetermined number of rotations, restoring fuel injection to the first cylinder if the second sensed engine speed is less than a second predetermined speed that is greater than the first predetermined engine speed.",ABB,1,6752672,Fuel injection control for marine engine
12,"[00001] The device for measuring horizontal acceleration consisting of two similar hermetically sealed vessels containing liquid and provided with the pressure sensors connected to the differential scheme. The determination of the accelerations is done in terms of these sensors signals difference, which measuring the pressure in particular points. In these very points the pressures created by the vertical acceleration are equal in terms of each other, the ones created by the horizontal acceleration are different.","1. Device for measuring horizontal acceleration comprising: two sealed, rigidly interconnected, essentially similar hollow vessels, filled with flowing medium, e.g. liquid, having upper and lower points in each of the asymmetrical vessel inner cavity cross-section anti-oriented contours, staying in contours as such within permissible tilting of the device in the working position, the even number of pressure pickups, connected with vessels, particularly two pressure pickups with chosen points of pressure measurements similarily set in the vessel inner hollows on the parallel straight lines, containing upper and lower points mentioned above, differential scheme on the output of the device with the pressure pickups connected to it. ",AAA,1,6851317,Device for measuring horizontal acceleration
13,"[00001] A method is provided for controlling the operation of the alternator in such a way that during certain conditions, such as rapid acceleration of a marine vessel in combination with a trimming maneuver, the alternator of the marine propulsion system is deactivated so that it does not provide a mechanical load on the engine during the accelerating maneuvers. This allows the engine to provide more power to the propeller and achieve the desired operating speed commanded by the operator of a marine vessel.","1. A method for controlling the electrical system of a marine propulsion system, comprising the steps of: providing an engine as a source of motive power for said marine propulsion system; providing an electrical energy providing device connected in torque transmitting relation with said engine; monitoring an operating characteristic associated with the operating speed of the internal combustion engine; comparing said operating characteristic to a preselected magnitude; deactivating the electrical energy providing device as a function of the relative magnitude of the monitored operating characteristic and the preselected magnitude; providing a propulsion control unit which is connected in electrical communication with said electrical energy providing device; providing an electrical battery; measuring a characteristic of said battery; comparing said battery characteristic to a predetermined minimum threshold magnitude; and disabling said deactivating step if said battery characteristic is less than said, predetermined minimum threshold magnitude. ",AAA,1,6857917,Method for deactivating a marine alternator during periods of high engine power requirements
14,"[00001] A method is provided for controlling the operation of the alternator in such a way that during certain conditions, such as rapid acceleration of a marine vessel in combination with a trimming maneuver, the alternator of the marine propulsion system is deactivated so that it does not provide a mechanical load on the engine during the accelerating maneuvers. This allows the engine to provide more power to the propeller and achieve the desired operating speed commanded by the operator of a marine vessel.","1. A method for controlling the electrical system of a marine propulsion system, comprising the steps of: providing an engine as a source of motive power for said marine propulsion system; providing an electrical energy providing device connected in torque transmitting relation with said engine; monitoring an operating characteristic associated with the operating speed of the internal combustion engine; comparing said operating characteristic to a preselected magnitude; deactivating the electrical energy providing device as a function of the relative magnitude of the monitored operating characteristic and the preselected magnitude; providing a propulsion control unit which is connected in electrical communication with said electrical energy providing device; providing an electrical battery; measuring a characteristic of said battery; comparing said battery characteristic to a predetermined minimum threshold magnitude; and disabling said deactivating step if said battery characteristic is less than said, predetermined minimum threshold magnitude. ",ABB,1,6857917,Method for deactivating a marine alternator during periods of high engine power requirements
15,"[00001] A method is provided for controlling the operation of the alternator in such a way that during certain conditions, such as rapid acceleration of a marine vessel in combination with a trimming maneuver, the alternator of the marine propulsion system is deactivated so that it does not provide a mechanical load on the engine during the accelerating maneuvers. This allows the engine to provide more power to the propeller and achieve the desired operating speed commanded by the operator of a marine vessel.","1. A method for controlling the electrical system of a marine propulsion system, comprising the steps of: providing an engine as a source of motive power for said marine propulsion system; providing an electrical energy providing device connected in torque transmitting relation with said engine; monitoring an operating characteristic associated with the operating speed of the internal combustion engine; comparing said operating characteristic to a preselected magnitude; deactivating the electrical energy providing device as a function of the relative magnitude of the monitored operating characteristic and the preselected magnitude; providing a propulsion control unit which is connected in electrical communication with said electrical energy providing device; providing an electrical battery; measuring a characteristic of said battery; comparing said battery characteristic to a predetermined minimum threshold magnitude; and disabling said deactivating step if said battery characteristic is less than said, predetermined minimum threshold magnitude. ",ACA,1,6857917,Method for deactivating a marine alternator during periods of high engine power requirements
16,"[00001] A watercraft control system includes a transmitting device and a watercraft control device which receives transmitted signals from the transmitting device and maneuvers the watercraft to a fallen driver, pursues a diver, or the like. The transmitting device can also unlock various devices and systems on the watercraft by generating an authentic ID code. In other embodiments, a signal intensity is monitored to trigger a guidance system, while still other embodiments replace the transmitting device with on-board sonar systems.","1. A control system for a watercraft providing wireless communication between a user's transmitting device and a processor on the watercraft, the control system comprising: a portable transmitting device configured to transmit a signal; and a watercraft control system comprising:  a receiver configured to receive the transmitted signal; a processor configured to communicate with the receiver to process the received signal and verify the received signal's authenticity, and configured to generate one or more operational commands when the received signal is authentic; and one or more controls of the watercraft including at least one of a steering control, a throttle control, and a rigging control, the one or more controls configured to communicate with the processor to receive and perform the one or more operational commands including mechanically positioning the rigging control, locking or unlocking the steering control, and locking or unlocking the throttle control, thereby preparing the watercraft for use. ",AAA,1,6878019,Watercraft control systems
