subclass,labels
C07C,7361783
A01N,7361783
A01N,5840705
A61K,5840705
C07D,5646140
A61K,5646140
A01N,7538137
A61K,7538137
A61K,7655690
C07D,7655690
A61K,6656934
C07D,6656934
A61K,7091230
C07D,7091230
A61K,7495020
A61K,6624161
C07D,6624161
C07D,6235730
A61K,6235730
A61K,6403624
C07D,6403624
A61K,6352987
C07D,6352987
A61P,6352987
C07C,6352987
A61K,6444669
A61K,6852738
A61K,5789380
C07K,5789380
G01N,7344843
A01N,7135199
A61K,7160877
C07D,7160877
A61K,3995026
C07C,6800605
C07K,6518402
A61K,5240962
A16K,5532336
C07K,5532336
A61K,5563243
C07K,5563243
A61K,5552522
C07K,5552522
C07K,5567678
A61K,5567678
A61K,5574133
C07K,5574133
A61K,5563244
C07K,5563244
A61K,5569743
C07K,5569743
C07K,5580954
A61K,5580954
A61K,5563245
C07K,5563245
A61K,5525705
C07K,5525705
C07K,5521283
A61K,5521283
A61K,5554727
C07K,5554727
A61K,5569744
C07K,5569744
A61K,5559208
C07K,5559208
A61K,5567803
C07K,5567803
A61K,5691309
C07K,5691309
A61K,5552523
C07K,5552523
A61K,5552524
C07K,5552524
A61K,5594104
C07K,5594104
A61K,5594101
C07K,5594101
A61K,5719266
C07K,5719266
A61K,5605886
A61K,5851995
A61K,7687085
A61K,7041280
A61K,6858592
C07F,6858592
A61K,7049304
C07F,7049304
A61K,6569879
C07D,6569879
A61P,6569879
C07D,7582633
A61K,7582633
A61P,7582633
A01N,6395784
C07C,6395784
A61K,6599899
C07D,6861444
A61K,6861444
A61P,6861444
C07D,7049445
A61K,6908908
C07D,6908908
A61K,6555536
C07D,6555536
A61K,5109006
C07D,5109006
A01N,6506420
A61K,6506420
A23L,6506420
A61K,7579027
A61K,6852693
C07K,6852693
C12N,5741666
A01N,6797290
A23L,6797290
A61K,7238727
C12Q,6057109
C12N,6121017
C07D,7279470
A61K,7279470
C07D,6939875
A61K,6939875
A61K,6964983
C07C,6964983
A61K,RE39916
C07D,RE39916
A61K,6624185
A61P,6624185
C07D,6624185
A61K,6884812
C07D,6884812
A61K,5453282
A61K,5654001
A61K,6235305
C12Q,7618940
A61K,6264937
A61K,6299868
A61K,7048917
A61K,6726906
C08F,6726906
A61K,4115587
C09F,4115587
A01N,7553502
C07D,7244727
A61K,7244727
A61P,7244727
A61K,6890899
C12B,4013510
C12D,3951745
A61K,7223727
A61K,7635705
C07D,7635705
C07D,7371759
A61K,7371759
A61P,7371759
A61K,7482358
C07D,7482358
A61K,7064142
C07D,7064142
A61K,5723115
C07K,5723115
A01N,5496831
A61K,7291607
A01N,6808703
C12N,6808703
A61K,5998421
A23K,5998421
A61K,5474991
C07F,5474991
A23J,5723443
A61K,5723443
C07K,5723443
C12P,5723443
A61K,7407674
A61K,5411956
C07K,5411956
A61K,5376640
A61K,4689344
C07C,4634795
A61K,4442113
A21D,5246723
A23L,5246723
A21D,5330779
A23L,5330779
A61P,6384087
A61K,6384087
A01N,7704979
A61K,6046184
A61K,6531462
A01K,6639123
C12N,6639123
A61K,4211765
A01N,4042687
A61K,4042687
A61K,5977175
A61K,7053075
C07C,7053075
A61K,7202222
A61K,7056949
C11B,7056949
A23D,7056949
C07D,6348492
A61K,6348492
A61K,6342519
C07D,6342519
A61K,7034004
C07K,7034004
A61K,7368433
C07K,7368433
A61K,6214831
C12N,7175999
C07K,5861485
A61K,7348338
A61K,7572806
A61K,7491831
A61K,7476746
A61K,7071207
C07D,7071207
A61K,7091228
C07D,7091228
C07D,7423156
C07D,6960601
A61K,6960601
C12N,7098029
A23L,7098029
A01H,7098029
A61K,6316489
A61K,6239163
A61K,6451802
C07D,6451802
A61K,6605297
C07D,6410577
A61K,6410577
C07C,7342127
A01N,7342127
A61K,7141561
C07D,7141561
C07C,7592477
C07D,7592477
A61K,7323480
C07D,7323480
C07D,7407954
A61K,7407954
A61K,7557143
C07C,7557143
A61K,5877183
A61K,5296481
C07J,5296481
A61K,6720351
A61K,6979692
C07D,6979692
A61P,6979692
A61K,6949572
C07D,6949572
A61P,6949572
A61K,5912229
C07K,5912229
H05H,6580084
C02F,6787042
G01N,7586102
G21G,7127023
G21G,7512206
C01G,5749042
A61K,6706251
G21F,7060998
C01G,5729821
H05H,7466085
B01J,7556780
H05H,6433495
G01K,6433495
G21F,5774815
H01L,5865906
A61K,7329400
A61M,7329400
G21G,6917044
C22B,6337055
C01F,6974563
G01N,7023000
C22B,7554098
B01D,7554098
G21G,5280505
C01G,7708961
C22B,7708961
C22B,7708961
G21G,7708961
G21G,6678344
C22B,6972414
G21G,5633900
G21G,5867546
G21G,6056929
G21G,7138643
C22B,5154897
G21G,5910971
C01F,5508011
G21G,6130926
A61K,5475232
G21G,5615238
G21C,5615238
G21G,6160862
C01G,5802438
A61K,5573747
A01N,5573747
B01D,6716353
A61M,7316644
C22B,6299666
G21G,5355394
C22B,6153154
B01D,7728310
C01G,5802439
A61K,5104638
C07F,5104638
A61K,5254328
C01G,5254328
A61K,5268163
G21G,5784423
C01D,6066302
G21G,6066302
C01F,5512256
G21G,6456680
C07C,7563920
C22B,5809394
C07F,5681974
C07F,5681974
C08G,5681974
C22B,7087206
C01G,7087206
B01D,6998052
H01J,6444990
G01N,6586747
G21G,6586747
G21C,5586153
G21G,5619545
C01F,5409677
C09K,5382388
B01J,5382388
G21G,5987087
C01B,6773686
G21G,5862193
G21G,6011825
G21G,6222896
G21G,6490330
C01G,6638490
B32B,6143431
C25D,6143431
G21G,6143431
G21G,5949836
G21G,6208704
C01G,6852296
C22B,6852296
G21F,7394074
H05H,7554275
A61K,6060036
A61M,6060036
G21G,7091494
G21G,7592605
A61N,7394081
C01F,7578982
G21G,7200198
G05D,7813841
C01D,7476377
C01D,6908598
C01F,6908598
C01G,6908598
H01L,6774532
G21G,5737376
C08F,5962597
G21G,5145636
B01D,7101484
G21G,5109160
G21H,5109160
G21H,6157036
B65B,6157036
