patent_id	title	claim	abstract	class
3951745	Glycoside-hydrolase enzyme inhibitors	1. A method for the production of an inhibitor of glycosidehydrolase enzymes of the digestive tract comprising culturing a microorganism of the order Actinomycetales and extracting the inhibitor from the resulting culture, wherein said inhibitor:    a. is substantially heat-stable at neutral pH values;  b. is stable to acid at pH 2;  c. is stable to alkali at pH 12;  d. is slowly dialyzable;  e. is not inactivated by trypsin or pepsin;  f. does not inhibit trypsin or pepsin;  g. is not receptive to protein dyes;  h. is free from characteristic UV absorption up to 250 nm.;  i. is not inhibited by urea or β-mercaptoethanol;  j. is of molecular weight 500-6000; and  k. yields a monosaccharide on hydrolytic splitting.	This invention relates to inhibitors for glycoside-hydrolases derived from bacteria of the order Actinomycetales, means for their production comprising cultivation of a microorganism of the order Actinomycetales in appropriate nutrient solutions under conditions most favorable to growth and production of the enzyme inhibitor and recovering, as a new product, glycoside-hydrolase enzyme inhibitors, from the culture as well as the use of said enzyme inhibitors in pharmaceutically acceptable therapeutic compositions in the treatment of conditions indicating obesity, diabetes, pre-diabetes, gastritis, gastric ulcer, hyperlipidemia (arteriosclerosis) and the like. The invention also contemplates the provision of methods of inhibiting the reaction of carbohydrates and glycoside-hydrolase enzymes and particularly carbohydrate-splitting glycoside-hydrolase enzymes of the digestive tract by means of conducting said reaction of said carbohydrates and glycoside-hydrolase enzymes in the presence of a glycoside-hydrolase enzyme inhibitor for said glycoside-hydrolase enzyme derived from a strain of microorganism of the order Actinomycetales. The invention further contemplates the provision of methods for the treatment of indications of the group consisting of obesity, adipose, hyperlipidemia (arteriosclerosis), diabetes, pre-diabetes, gastritis, gastric ulcer, duodenal ulcer, and caries induced by the action of glycoside-hydrolase enzymes and carbohydrates, the improvement which comprises employing an enzyme inhibitor for glycoside-hydrolase enzymes produced by a strain of microorganism of the order Actinomycetales.	aaa
3995026	Amylase inhibitor	1. A pharmaceutical composition comprising an admixture of a pharmaceutical carrier and an effective amylase inhibiting amount of an amylase inhibitor active ingredient prepared in accordance with a process which comprises culturing the microorganism Actinoplanaceae CBS 614.71 in a nutrient medium until a sufficient quantity of amylase inhibitor has been produced, and recovering the said amylase inhibitor from the resultant culture.	The invention relates to an amylase inhibitor for glycoside-hydrolases derived from a new strain of microorganism, mutants and variants thereof, of the order Actinomycetales, means for their production comprising cultivation of the new strain of the order Actinomycetales, mutants and variants thereof, in appropriate nutrient solutions under conditions most favorable to growth and production of said amylase inhibitor and recovering an amylase inhibitor from culture broths of said nutrient solutions and said new strain of microorganism, mutants and variants thereof, of the order Actinomycetales as well as the use of said enzyme inhibitor in pharmaceutically acceptable therapeutic compositions suitable for use in the treatment and relief of conditions indicative of obesity, diabetes, pre-diabetes, gastritis, gastric and duodenal ulcers, hyperlippidemia (atheriosclerosis) and the like. The invention also contemplates the provision of methods of inhibiting the reaction of carbohydrates and glycoside-hydrolase enzymes, and particularly carbohydrate-splitting glycoside-hydrolase enzymes of the digestive tract by means of conducting said reaction of said carbohydrates and glycoside-hydrolase enzyme in the presence of a glycoside-hydrolase enzyme derived from a new strain, mutants and variants thereof, of the order Actinomycetales. The invention further contemplates the provision of method for the treatment of indications of the group consisting of obesity, adipose, hyperlippidemia (atheriosclerosis), diabetes, pre-diabetes, gastritis, gastric ulcer, duodenal ulcer and dental caries induced by the action of glycoside-hydrolase enzymes and carbohydrates which comprises employing an enzyme inhibitor for glycoside-hydrolase enzymes produced by a new strain of microorganism of the order Actinomycetales of the family Actinoplanaceae.	aaa
4013510	Glycoside-hydrolase enzyme inhibitors	1. A method of inhibiting the reaction of carbohydrates and carbohydrate-splitting enzymes of the digestive tract which comprises conducting the reaction of said carbohydrates and carbohydrate-splitting enzymes of the digestive tract in the presence of an enzyme inhibitor for said carbohydrate-splitting enzymes of the digestive tract derived from a strain of microorganism of the order Actinomycetales, wherein said enzyme inhibitor:    a. is substantially heat-stable at neutral pH values;  b. is stable to acid at pH 2;  c. is stable to alkali at pH 12;  d. is slowly dialyzable;  e. is not inactivated by trypsin or pepsin;  f. does not inhibit trypsin or pepsin;  g. is not receptive to protein dyes;  h. is free from characteristic UV absorption up to 250 nm.;  i. is not inhibited by urea or β-mercaptoethanol;  j. is of molecular weight 500-6000; and  k. yields a monosaccharide on hydrolytic splitting.	This invention relates to inhibitors for glycosidehydrolases derived from bacteria of the order Actinomycetales, means for their production comprising cultivation of a microorganism of the order Actinomycetales in appropriate nutrient solutions under conditions most favorable to growth and production of the enzyme inhibitor and recovering, as a new product, glycoside-hydrolase enzyme inhibitors, from the culture as well as the use of said enzyme inhibitors in pharmaceutically acceptable therapeutic compositions in the treatment of conditions indicating obesity, diabetes, pre-diabetes, gastritis, gastric ulcer, hyperlipidemia (arteriosclerosis) and the like. The invention also contemplates the provision of methods of inhibiting the reaction of carbohydrates and glycoside-hydrolase enzymes and particularly carbohydrate-splitting glycoside-hydrolase enzymes of the digestive tract by means of conducting said reaction of said carbohydrates and glycoside-hydrolase enzymes in the presence of a glycoside-hydrolase enzyme inhibitor for said glycoside-hydrolase enzyme derived from a strain of microorganism of the order Actinomycetales. The invention further contemplates the provision of methods for the treatment of indications of the group consisting of obesity, adipose, hyperlipidemia (arteriosclerosis), diabetes, pre-diabetes, gastritis, gastric ulcer, duodenal ulcer, and caries induced by the action of glycoside-hydrolase enzymes and carbohydrates, the improvement which comprises employing an enzyme inhibitor for glycoside-hydrolase enzymes produced by a strain of microorganism of the order Actinomycetales.	aaa
4042687	Method of treating obesity by the oral administration of a predigested protein composition	1. A method of treating obesity which comprises administering by ingestion to a patient in need of said treatment a nutritionally effective amount, in lieu of other foods, of a composition comprising about 5 to about 75 parts by weight of hydrolyzed gelatin, about 0.02 to about 0.75 parts by weight of tryptophane, about 0.1 to about 2 parts by weight of a sweetener, and about 5 to about 100 parts by weight of an ingestible carrier, said nutritional composition containing essentially the following amino acids in parts by weight: about 13 parts L-alanine, about 12 parts L-arginine, about 9 parts L-aspartic acid, about 0.1 parts L-cystine, about 15 parts L-glutamic acid, about 35 parts glycine, about 1.1 parts L-histidine, about 10 parts L-hydroxyproline, about 4.5 parts L-leucine, about 2 parts L-isoleucine, about 6.5 parts L-lysine, about 1.5 parts hydroxylysine, about 1.1 parts L-methionine, about 3.5 parts L-phenylalanine, about 23 parts L-proline, about 10 parts L-serine, about 3 parts L-threonine, about 0.65 parts L-tryptophane, about 1 part L-tyrosine, and about 3.5 parts L-valine.	A method of preventing obesity which comprises ingestion of a pre-digested protein composition formed from hydrolyzed gelatin to which has been added an effective amount of tryptophane, said composition containing all of the essential amino acids and having a palatable taste and odor.	aaa
4115587	Fatty acid amides of norfenfluramine and compositions and methods thereof	1. A fatty acid amide of norfenfluramine having effective cholesterol-lowering activity in mammals of the formula:  wherein R is selected from the group consisting of alkyl having 12 to 22 carbon atoms and alkenyl having 12 to 22 carbon atoms.	Novel amides of norfenfluramine having the formula  wherein R is selected from the group consisting of alkyl and alkenyl radicals having 12 to 22 carbon atoms and compositions and methods for combating atherosclerosis and hypercholesteremia, with beneficial side effects useful for combating obesity in atherosclerotic subjects are disclosed. The compounds lower lipid values and simultaneously inhibit appetite and reduce weight gain from ingested food with minimal side effects.	aab
4211765	Method for controlling obesity	1. A method of countering a tendency toward obesity in a subject in need thereof which comprises orally administering to such subject an effective amount of non-absorbable polymerized unsaturated carboxylic acid or pharmaceutically acceptable derivative thereof sufficient to cause increased fat excretion, the polymer being a cationic derivative of an olefin-maleic acid copolymer of molecular weight of about 3000 to about 1,000,000 which is an effective pancreatic lipase inhibitor.	The invention involves a method of weight control in which polymers of unsaturated carboxylic acid derivatives are orally administered to interfere with assimilation of fat. Polymers which inhibit action of pancreatic lipase, especially cationic polymers such as dialkylaminoalkyl imides of alkene/maleic anhydride copolymers, are particularly useful.	aba
4442113	Long-term weight reduction of obese patients using femoxetine	1. The method of reducing appetite to obtain weight control and reduction in an obese human patient which comprises the step of orally or rectally administering to the said patient an appetite suppressing amount of a compound selected from the group consisting of femoxetine and a pharmaceutically-acceptable salt thereof over a period of at least eight (8) weeks.	A method for assisting with appetite and weight control and reduction in obese human patients, which comprises the step of orally or rectally administering an appetite-suppressant compound selected from the group consisting of femoxetine and a pharmaceutically-acceptable salt thereof in an effective appetite-suppressant amount over a period of at least eight (8) weeks is disclosed. The appetite-suppresssant compound is preferably orally administered together with a pharmaceutically-acceptable carrier in a daily dosage of 100 to 1,000 mg in the form of a tablet containing about 100 to 300 mg of the appetite-suppressant compound, which is preferably a pharmaceutically-acceptable femoxetine acid addition salt, especially the hydrochloride.	aab
4634795	Long-chain .alpha.,.omega.-di-carboxylic acids and derivatives thereof and pharmaceutical compositions containing them	1. A compound of the formula  wherein X is hydrogen, lower alkyl, fluoro, chloro or bromo, and n is an integer from 8 to 14; or a lower alkyl ester, alkali metal salt, alkaline earth metal salt or a NH 4 salt thereof; with the proviso that when X is hydrogen, then n is other than 8.	A novel class of compounds has been found to be effective in blocking cholesterol and neutral lipid synthesis in-vivo without adversely affecting energy metabolism. The active compounds have the general formula  or in-vivo hydrolysable functional derivatives of the carboxylic groups thereof, wherein    R 1 and R 2 each independently represents an unsubstituted or substituted hydrocarbyl or heterocyclyl radical;  X and Y each independently represent hydrogen, optionally substituted lower alkyl, halogen, cyano, carboxy, lower alkoxycarbonyl or carbamoyl; and  Q represents a diradical consisting of a linear chain of 8 to 14 carbon atoms, one or more of which may be replaced by heteroatoms, said chain being optionally substituted by inert substituents and one or more of said carbon or heteroatom chain members optionally forming part of a ring structure.   The invention also provides pharmaceutical compositions comprising the aforementioned compounds of formula (I) for the treatment of obesity, hyperlipidemia and maturity-onset diabetes.	abb
4689344	Long-chain .alpha.,.omega.-dicarboxylic acids and derivatives thereof and pharmaceutical compositions containing them	1. A pharmaceutical composition comprising, as active ingredient, at least one pharmaceutically acceptable compound of the general formula  or an in-vivo hydrolyzable functional derivative selected from the group consisting of salts with pharmaceutically acceptable inorganic or organic cations; esters; amides; and anhydrides with lower alkanoic acids;   wherein R 1 and R 2 each independently represents an hydrocarbyl selected from the group consisting of lower alkyl; alkenyl; alkynyl; or cycloalkyl;  X and Y each independently represents hydrogen, lower alkyl, halogen, cyano, carboxy, lower alkoxy-carbonyl and carbamoyl; and  Q represents alkylene of 8 to 14 carbon atoms, wherein 1 or 2 carbon atoms are optionally replaced with O, S or N (lower alkyl);  together with a solid or liquid pharmaceutically acceptable carrier, diluent or excipient.	A novel class of compounds has been found to be effective in blocking cholesterol and neutral lipid synthesis in-vivo without adversely affecting energy metabolism, useful for the treatment of obesity, hyperlipidemia and maturity-onset diabetes. The active compounds have the general formula  or in-vivo hydrolyzable functional derivatives of the carboxylic groups thereof, wherein   R 1 and R 2 each independently represents an unsubstituted or substituted hydrocarbyl or hetercyclyl radical;  X and Y each independently represents hydrogen, optionally substituted lower alkyl, halogen, cyano, carboxy, lower alkoxycarbonyl or carbamoyl; and  Q represents a diradical consisting of a linear chain of 8 to 14 carbon atoms, one or more of which may be replaced by heteroatoms, said chain being optionally substituted by inert substituents and one or more of said carbon or heteratom chain members optionally forming part of a ring structure.	abb
5109006	Certain pharmaceutically active 6H-imidazo[1,2-a]pyridine-5-ones	1. A compound of the formula  their enantiomers and tautomers, wherein each of A and B represents oxygen, sulfur or NR 5 with R 5 being H or C 1-4 alkyl,    R 1 is H, C 1-4 alkyl, C 1-4 alkoxy, halogeno, nitro, OH, SO 3 H, or SO 2 NH 2,   R 2 is H, C 1-4 alkyl, C 1-4 alkoxy, halogeno or hydroxy, and R 1, R 2 taken together with the carbon atoms to which they are attached form a fused benzenoid moiety at the 1,2 or 3,4 positions, each of R 3 and R 4 are methyl or when taken together with the carbon atom to which they are attached form a cyclopentane or cyclohexane moiety, and X  .crclbar. represents an anion forming a pharmaceutically acceptable salt with the cation with which it is associated.	This invention relates to novel derivatives of 1,7'-[imidazo-[1,2-a]pyridine]5'-(6'H)ones, to the method for their preparation and to their use as anti-hypertensive, anxiety, anti-depressant and anti-migraine agents, and to their use as appetite regulators useful for the treatment of anorexia and obesity.	aab
