patent_id	title	claim	abstract	class
5104638	Method of making a radiopharmaceutical complex from a kit	1. A method of making a radiopharmaceutical complex from a kit, said method comprising:    providing a kit which includes a ligand having the formula:   wherein each of the symbols R 1 -R 16 is individually selected from the group consisting of hydrogen, straight or branched, unsubstituted or substituted alkyl having 1-4 carbon atoms, ACOOH, ASO 3 H, and APO 3 H 2, wherein A is a straight or branched, unsubstituted or substituted alkyl group having 0-4 carbon atoms and wherein H may be replaced with suitable, pharmaceutically acceptable, positively charged ions such as Na +, K +, Li +, Ca 2+, or Sr 2+ ;   Z' is either a sulphur atom or an amino group having the general formula R 17 --N--R 18, wherein R 17 and R 18 have the same meanings as the symbols R 1 -R 16 ;  R 3 together with R 4, R 5 together with R 6, R 9 together with R 10, or R 11 together with R 12, additionally may form an oxygen atom;  n is 0 or 1; and  l is 0 or 1;    with the provisos that   if Z' is a sulphur atom, then l=1;  if Z' is a amino group, then l=0;  if any of the symbols R 15 -R 18 is ACOOH, ASO 3 H, or APO 3 H 2, then A is a straight or branched, unsubstituted or substituted alkyl group having 1-4 carbon atoms;  at least one of the symbols R 1 -R 18 is ACOOH; and  at least one of the symbols R 1 -R 18 is ASO 3 H, or APO 3 H 2 ; and   combining said kit with a radionuclide solution;    wherein said ligand binds to said radionuclide to form said radiopharmaceutical complex.	The present invention relates to novel technetium-99m complexes and to methods of preparing the complexes. The present invention further relates to radiopharmaceutical compositions comprising the complexes, to the use of the compositions for examining the renal function, and to a kit for preparing such compositions.	2AB
5109160	Sterilizable radionuclide generator and method for sterilizing the same	1. In a radionuclide generator of the type having a column having a long-lived parent radionuclide and a relatively short-lived daughter radionuclide therein, the column having an inlet port and an outlet port, means for connecting the inlet port of the column to a source of eluant, and means for connecting the outlet port to an eluate collection vessel, the improvement which comprises:    a plug removably mounted to the inlet connecting means to seal the same; and,  a cover removably mounted to the outlet connecting means, the cover having a vent and a filter disposed therein downstream of the outlet connection means whereby gases produced during the sterilization of the generator are vented through the cover.	A radionuclide generator of the type having a column with an inlet port and an outlet port, means for connecting the inlet port of the column to a source of eluant, and means for connecting the outlet port to an eluate collection vessel, further includes a plug removably mounted to the inlet connecting means to seal the same and a cover removably mounted to the outlet connecting means. The outlet cover has a vent therein whereby gases produced during the sterilization of the generator are vented.	2AD
5112534	Yttrium and rare earth stabilized fast reactor metal fuel	1. An improved metal alloy reactor fuel consisting essentially of uranium, plutonium, and at least one element from the group consisting of yttrium, lanthanum, cerium, praseodymium, neodymium, promethium, samarium, europium, gadolinium, terbium, dysprosium, holmium, erbium, thulium, ytterbium and lutetium.	To increase the operating temperature of a reactor, the melting point and mechanical properties of the fuel must be increased. For an actinide-rich fuel, yttrium, lanthanum and/or rare earth elements can be added, as stabilizers, to uranium and plutonium and/or a mixture of other actinides to raise the melting point of the fuel and improve its mechanical properties. Since only about 1% of the actinide fuel may be yttrium, lanthanum, or a rare earth element, the neutron penalty is low, the reactor core size can be reduced, the fuel can be burned efficiently, reprocessing requirements are reduced, and the nuclear waste disposal volumes reduced. A further advantage occurs when yttrium, lanthanum, and/or other rare earth elements are exposed to radiation in a reactor, they produce only short half life RADIOISOTOPEs, which reduce nuclear waste disposal problems through much shorter assured-isolation requirements.	2BA
5145636	Soluble irradiation targets and methods for the production of radiorhenium	1. A method of producing a rhenium-188 radionuclide generator, comprising:    irradiating a water soluble irradiation target selected from the group consisting of sodium tungstate and lithium tungstate, reacting the irradiated target with an aqueous zirconium solution to obtain an insoluble zirconium tungstate gel, and disposing the zirconium tungstate in an elutable container to obtain the rhenium-188 radionuclide generator.	Water soluble irradiation targets are disclosed for the production of  186 Re and  188 Re. The irradiation targets are selected for both water solubility and absence of elements which would produce contaminating isotopes for medical therapeutic and diagnostic use. In one embodiment,  186 Re or 188Re is produced by the direct irradiation of a water soluble irradiation target comprising  185 Re or  187 Re, respectively. Preferred targets for this purpose include aluminum perrhenate, lithium perrhenate and magnesium perrhenate. In another embodiment, a zirconyl tungstate generator comprising  188 W for the production of  188 Re is obtained by irradiating a soluble irradiation target comprising  186 W, dissolving the irradiated target in aqueous solution, reacting the dissolved target with an aqueous solution comprising zirconyl ion to form an insoluble zirconium tungstate precipitate and disposing the precipitate in an elutable container. Preferred irradiation targets for this purpose include sodium tungstate and lithium tungstate. In each of the foregoing embodiments, the irradiation target is readily soluble in aqueous solution and may be used directly in solution form after irradiation, such as for ligand conjunction for medical diagnostic or therapeutic purposes, without cumbersome dissolution, neutralization, purification and other processing steps involving irradiated materials inherent in prior  186 Re and  188 Re production methods.	2AD
5154897	Method and apparatus for the generation of RADIOISOTOPEs	1. A generator apparatus for separating a daughter RADIOISOTOPE from a parent RADIOISOTOPE, the apparatus comprising:    a reservoir for holding a stock solution containing parent RADIOISOTOPE and daughter RADIOISOTOPE,  a glass adsorbent which, at a first predetermined pH, preferentially adsorbs the daughter RADIOISOTOPE relative to the parent RADIOISOTOPE and from which the daughter RADIOISOTOPE can be eluted at a second predetermined pH,  a source of eluant at the second predetermined pH for eluting the daughter RADIOISOTOPE from the glass adsorbent, and  circulation means for withdrawing said stock solution containing the parent and daughter RADIOISOTOPEs from the reservoir, contacting the solution with the glass adsorbent whereby the daughter RADIOISOTOPE will be adsorbed by the adsorbent and the solution is enriched in parent RADIOISOTOPE, and thereafter returning the parent RADIOISOTOPE-enriched solution to the reservoir.	A method and a generator for separating daughter RADIOISOTOPE from a stock solution containing the daughter RADIOISOTOPE and its parent are provided. The generator is provided with a glass adsorbent which preferentially adsorbs daughter RADIOISOTOPE relative to the parent RADIOISOTOPE and circulation means for withdrawing the stock solution from a reservoir, contacting the solution with the glass adsorbent to adsorb the daughter RADIOISOTOPE and returning the parent RADIOISOTOPE-enriched solution to the reservoir. In the process stock solution containing daughter RADIOISOTOPE having a predetermined pH is contacted with the glass adsorbent to selectively adsorb the daughter RADIOISOTOPE thereon and the daughter RADIOISOTOPE is eluted with an eluant at a second predetermined pH. The process also includes a step of washing the glass adsorbent with a wash solution at the first predetermined pH to remove traces of the parent RADIOISOTOPE from the adsorbent prior to eluting the daughter radioiotope. In the process the first predetermined pH is in the range of from 4.0 to 10.0 and the second predetermined pH is less than 4. Daughter RADIOISOTOPEs such as Y-90, Ga-68 and Ca-47 can be separated from their parents using these process and generator.	2AD
5186913	Tungsten-188/carrier-free rhenium-188 perrhenic acid generator system	1. A method for generating carrier-free Re-188 perrhenic acid comprising the steps of:    providing a chromatography column and a cation-exchange column;  applying to said chromatography column a charge of W-188;  eluting said chromatography column with a metal salt solution to generate Re-188 in the form of an intermediate solution; and,  passing said intermediate solution through said cation-exchange column to convert said Re-188 to a carrier-free acid form.	A generator system for providing a carrier-free RADIOISOTOPE in the form of an acid comprises a chromatography column in tandem fluid connection with an ion exchange column, the chromatography column containing a charge of a radioactive parent isotope. The chromatography column, charged with a parent isotope, is eluted with an alkali metal salt solution to generate the RADIOISOTOPE in the form of an intermediate solution, which is passed through the ion-exchange column to convert the RADIOISOTOPE to a carrier-free acid form.	2AD
5246505	System and method to improve the power output and longetivity of a RADIOISOTOPE thermoelectric generator	1. A system for slowing the deterioration of a RADIOISOTOPE thermoelectric generator (RTG) when power is not needed, comprising:    a radioactive, alpha-particle-emitting heat source forming a central core;  insulation surrounding said heat source forming a generally annular shape;  a plurality of thermoelectric elements, embedded in said insulation so as to have a hot and a cool end, for converting temperature differences into electricity; an outer shell assembly surrounding said insulation; and  a gas management assembly for releasing from or retaining within said outer shell helium generated by alpha decay of said radioactive heat source according to power needs, whereby the operating temperature of said thermoelectric elements is subject to control for alternatively raising the operating temperature when peak power is required and lowering the operating temperature to minimize degradation of said thermoelectric elements during low power demand periods.	By using the helium generated by the alpha emissions of a thermoelectric generator during space travel for cooling, the thermal degradation of the thermoelectric generator can be slowed. Slowing degradation allows missions to be longer with little additional expense or payload.	2AD
5254328	Method of preparing a radiodiagnostic comprising a gaseous radionuclide, as well as a radionuclide generator suitable for using said method	1. A method or preparing a radiodiagnostic including a gaseous radioactive daughter nuclide formed by radioactive decay of a parent nuclide, the method comprising the step of eluting, with an eluent, the radioactive daughter nuclide from the parent nuclide, the parent nuclide being provided ionically on an ion exchange membrane, past which the eluent is made to flow.	The invention relates to a method of preparing a radiodiagnostic comprising a gaseous radionuclide formed by radioactive decay of a parent nuclide, by eluting with a suitable eluent the radioactive daughter nuclide from the parent nuclide provided ionically on a carrier, by using as a carrier for the parent nuclide ions a membrane, in particular an ion exchange membrane, past which the eluent is made to flow. The invention further relates to a radionuclide generator suitable for using said method.	2AD
5268163	Method of preparing a radiolabelled technetium complex and kit for performing said method	1. A method of preparing a radiolabelled technetium complex by bringing Tc-99m in the form of a pertechnetate solution in a complex-forming reaction with a compound of the general formula  wherein R 1 -R 12 each independently represents a hydrogen atom, a C 1 -C 4 alkyl group, a carboxy group, or a carboxy(C 1 -C 4 )alkyl group;    or wherein   R 1 +R 2, R 3 +R 4, R 5 +R 6, R 7 +R 8, R 9 +R 10 and R 11 +R 2 each independently represent an oxo or imino function;   and wherein furthermore:   R 13 is a hydrogen atom, a C 1 -C 4 alkyl group or a carboxy(C 1 -C 4 )alkyl group;  R 14 is a hydrogen atom or an amino group; n is 0, 1 or 2;  A represents an amino group or a mercapto group; and  B represents a mercapto group, or a group of the general formula NH--Z--CO--NH-- m Z--COOH, wherein:   Z is an optionally substituted C 1 -C 4 alkylene, cycloalkylene or alkylidene group, and  m is an integer from 0 to 20;   with the provisos:   (i) that at least one substituent selected from the group consisting of R 1 -R 13 and B is or comprises a carboxy group; and  (ii) that R 3 +R 4 or R 7 +R 8 represents an oxo function or both R 3 +R 4 and R 7 +R 8 or both R 5 +R 6 and R 7 +R 8 represent oxo functions, if A is an amino group and B is a group of the formula NH--Z--CO--NH-- m Z--COOH;    characterized in that said complex-forming reaction is performed in the presence of SN(II) as a reducing agent, in the absence of a transfer agent, in an at least substantially aqueous solvent system having a pH of at least 10, and at ambient temperature.	The invention relates to a method of preparing a radiolabelled technetium complex by bringing Tc-99m in the form of a pertechnetate solution in a complex-forming reaction with a compound of the general formula  wherein R 1 -R 12 each independently represents a hydrogen atom, a C 1 -C 4 alkyl group, a carboxy group, or a carboxy(C 1 -C 4 )alkyl group;    or wherein   R 1 +R 2, R 3 +R 4, R 5 +R 6, R 7 +R 8, R 9 +R 10 and R 11 +R 12 each independently represent an oxo or imino function;   and wherein furthermore:   R 13 is a hydrogen atom, a C 1 -C 4 alkyl group or a carboxy(C 1 -C 4 )alkyl group;  R 14 is a hydrogen atom or an amino group; n is 0, 1 or 2;  A represents an amino group or a mercapto group; and  B represents a mercapto group, or a group of the general formula NH--Z--CO--NH-- m Z--COOH, wherein:   Z is an optionally substituted C 1 -C 4 alkylene, cycloalkylene or alkylidene group, and  m is an integer from 0 to 20;    with the provisos:  (i) that at least one substituent selected from the group consisting of R 1 -R 13 and B is or comprise a carboxy group; and  (ii) that R 3 +R 4 or R 7 +R 8 represents an oxo function or both R 3 +R 4 and R 7 +R 8 or both R 5 +R 6 and R 7 +R 8 represent oxo functions, if A is an amino group and B is a group of the formula NH--Z--CO--NH-- m Z--COOH;   by performing said reaction in the presence of Sn(II) as a reducing agent, in the absence of a transfer agent, in an at least substantially aqueous solvent system having a pH of at least 10, and at ambient temperature.   The invention further relates to a kit for performing said method.	2AB
5275802	Tungsten-188/carrier-free rhenium-188 perrhenic acid generator system	1. A radioisotopic composition comprising carrier-free Re-188 in the form of perrhenic acid, said perrhenic acid being free of perchloric acid.	A generator system for providing a carrier-free RADIOISOTOPE in the form of an acid comprises a chromatography column in tandem fluid connection with an ion exchange column, the chromatography column containing a charge of a radioactive parent isotope. The chromatography column, charged with a parent isotope, is eluted with an alkali metal salt solution to generate the RADIOISOTOPE in the form of an intermediate solution, which is passed through the ion-exchange column to convert the RADIOISOTOPE to a carrier-free acid form.	2AD
